,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Era
0,Vanessa Carlton,A Thousand Miles (Enhanced),A Thousand Miles - Single Version,6t6rudGjkLftasgUiSGcPN,0.566,0.825,11,-4.504,1,0.0383,0,0.218,0.278,94.991,237920,4,00
1,Miley Cyrus,The Time Of Our Lives (International Version),Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,0.652,0.698,10,-4.667,0,0.042,0.000115,0.0886,0.47,96.021,202067,4,00
2,Taylor Swift,Fearless,Love Story,1vrd6UOGamcKNGnSHJQlSt,0.618,0.741,2,-3.95,1,0.031,0,0.0822,0.296,118.984,235267,4,00
3,Kelly Clarkson,Since U Been Gone,Since U Been Gone,3iJTbZDSnZ676y5qObWDm0,0.664,0.741,0,-5.391,1,0.0343,0.0502,0.113,0.409,131.006,188960,4,00
4,Rihanna,Good Girl Gone Bad: Reloaded,Umbrella,49FYlytm3dAAraYgpoJZux,0.583,0.829,1,-4.603,1,0.134,0,0.0426,0.575,174.028,275987,4,00
5,Various Artists,Pure... 2000s Party,TiK ToK,6zQlRd6tvEVJm59P8PMj7o,0.745,0.667,2,-6.781,0,0.121,0,0.283,0.633,120.046,199733,4,00
6,Natasha Bedingfield,Unwritten,Unwritten,1D1nixOVWOxvNfWi0UD7VX,0.706,0.801,5,-6.333,1,0.0399,0,0.0822,0.63,100.013,259333,4,00
7,Iyaz,Replay,Replay,4E5P1XyAFtrjpiIxkydly4,0.706,0.751,9,-6.323,1,0.0708,0,0.168,0.195,91.031,182307,4,00
8,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,Last Friday Night (T.G.I.F.),455AfCsOhhLPRc68sE01D8,0.649,0.815,3,-3.796,0,0.0415,4.31e-05,0.671,0.765,126.03,230747,4,00
9,Rihanna,Good Girl Gone Bad: Reloaded,Take A Bow,3goSVuTt3fDYDP6kRnFwuL,0.697,0.467,9,-7.536,1,0.0715,0,0.0941,0.572,82.082,229413,4,00
10,Beyoncé,I AM...SASHA FIERCE,Halo,4JehYebiI9JE8sR8MisGVb,0.508,0.72,11,-5.908,0,0.0628,0,0.0563,0.472,79.983,261640,4,00
11,Taylor Swift,Red,I Knew You Were Trouble,6RjKVXi31fui9m4dbiGRrL,0.499,0.467,6,-6.744,1,0.0461,1.65e-06,0.0361,0.637,76.76,219720,4,00
12,Jordin Sparks,Jordin Sparks,No Air (feat. Chris Brown),1jUA4rb6ZCv4gby4YU53xq,0.466,0.759,8,-4.978,0,0.199,0,0.0587,0.328,160.033,264373,4,00
13,Katy Perry,One Of The Boys,Hot N Cold,0iGckQFyv6svOfAbAY9aWJ,0.706,0.841,7,-3.956,1,0.0418,0,0.0688,0.861,132.032,220227,4,00
14,Cascada,Everytime We Touch [Premium Edition],Every time we touch,2gOlrge3YTmYPwsCGgU62K,0.633,0.976,8,-5.362,1,0.0519,1.29e-05,0.382,0.493,142.027,197124,4,00
15,Taio Cruz,The Rokstarr Hits Collection,Dynamite,2CEgGE6aESpnmtfiZwYlbV,0.751,0.783,4,-3.724,1,0.0859,0,0.036,0.816,119.975,202613,4,00
16,Leona Lewis,Spirit,Bleeding Love,6LtPIXlIzPOTF8vTecYjRe,0.635,0.647,5,-5.865,1,0.0351,0,0.154,0.203,104.054,262693,4,00
17,Avril Lavigne,Let Go,Complicated,34xZFT7artr3SGqgSoR88L,0.582,0.758,5,-5.951,1,0.0464,8.41e-06,0.309,0.413,77.982,244507,4,00
18,Taylor Swift,Red,We Are Never Ever Getting Back Together,1F6oGPF75u9RuHH4BGx9Bf,0.624,0.685,7,-5.902,1,0.12,2.22e-05,0.126,0.781,86.059,193147,4,00
19,Beyoncé,B'Day Deluxe Edition,Irreplaceable,6RX5iL93VZ5fKmyvNXvF1r,0.447,0.694,7,-4.637,0,0.382,5.46e-06,0.167,0.509,175.868,227853,4,00
20,Sugababes,Change,About You Now,1ctdfJSzp6qF2iDAVdDrfl,0.584,0.699,1,-6.065,0,0.0378,6.05e-05,0.486,0.585,82.499,212400,4,00
21,Atomic Kitten,Atomic Kitten,The Tide Is High - Radio Mix,5WuVWOngcRkMOx9RRLCvui,0.776,0.693,7,-2.528,1,0.0314,0.00177,0.0322,0.635,102.996,205360,4,00
22,Fergie,The Dutchess,Big Girls Don't Cry (Personal),6dgWWAs5yhWPOtvE1zuoQ1,0.708,0.641,7,-4.271,1,0.0335,0,0.0925,0.253,113.082,268120,4,00
23,Train,"Hey, Soul Sister","Hey, Soul Sister",0KpfYajJVVGgQ32Dby7e9i,0.675,0.885,1,-4.432,0,0.0436,0,0.086,0.768,97.03,216667,4,00
24,Katy Perry,One Of The Boys,I Kissed A Girl,14iN3o8ptQ8cFVZTEmyQRV,0.699,0.76,5,-3.173,1,0.0677,0,0.132,0.696,129.996,179640,4,00
25,Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)",Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,0.778,0.824,10,-5.892,0,0.0712,0,0.405,0.756,100.024,218093,4,00
26,Rihanna,Good Girl Gone Bad: Reloaded,Don't Stop The Music,0ByMNEPAPpOR5H69DVrTNy,0.835,0.669,6,-5.582,0,0.0643,6.92e-05,0.0535,0.542,122.668,267080,4,00
27,P!nk,Greatest Hits...So Far!!!,Raise Your Glass,05qq6mwIbG1ZsQhlMKyDwN,0.7,0.708,7,-4.952,1,0.087,0,0.0345,0.619,122.031,202850,4,00
28,Britney Spears,Oops!... I Did It Again,Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ,0.751,0.834,1,-5.444,0,0.0437,1.77e-05,0.355,0.894,95.053,211160,4,00
29,Beyoncé,I AM...SASHA FIERCE - Platinum Edition,If I Were a Boy,1oQZk2bKBLgP1cbuFKvjkq,0.63,0.504,6,-6.152,1,0.0334,0,0.308,0.487,89.946,249867,4,00
30,The Script,The Script,Breakeven,4bCIt1XfHHGWo1UHKM11y9,0.63,0.698,10,-4.51,1,0.0244,0,0.0789,0.529,94.023,261427,4,00
31,Alicia Keys,As I Am,No One,0JEqGkvUiMTQmFY6sgL9kg,0.649,0.552,1,-5.419,0,0.0292,6.47e-06,0.111,0.158,89.969,253813,4,00
32,Ne-Yo,In My Own Words,So Sick,4SRqDmPxYX0pUb5B5ut2Ri,0.452,0.574,6,-8.336,1,0.31,0,0.189,0.58,92.791,207187,4,00
33,Avril Lavigne,Let Go,Sk8er Boi,4omisSlTk6Dsq2iQD7MA07,0.487,0.9,0,-4.417,1,0.0482,0,0.358,0.484,149.937,204000,4,00
34,Agnes,Dance Love Pop (The Love Love Love Edition),Release Me,4LiJE6pqgsTX3FtukW6bNh,0.621,0.923,2,-3.124,0,0.0321,7.28e-05,0.108,0.716,127.973,256213,4,00
35,Jason Derulo,Jason Derulo (International),In My Head,6St9lR6dhV2tpCNVz7qfrS,0.762,0.748,0,-4.15,0,0.033,0,0.348,0.851,110.009,199027,4,00
36,Bruno Mars,Doo-Wops & Hooligans,Just the Way You Are,47Slg6LuqLaX0VodpSCvPt,0.637,0.843,5,-5.413,1,0.0432,0,0.0876,0.434,109.012,220733,4,00
37,Lady Gaga,Just Dance,Just Dance,5vQXxfGn1bjv5WESrYVVpw,0.821,0.741,1,-4.57,0,0.0313,2.51e-05,0.19,0.741,118.984,244440,4,00
