,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Era_pred
0,David Arnold,Sherlock Series 4: The Final Problem (Original Television Soundtrack),Who You Really Are,24xTylaPWS5iVVCxwTTkcv,0.224,0.273,9,-15.592,0,0.0558,0.905,0.0867,0.126,129.479,155773,4,60
1,The Chainsmokers,Something Just Like This,Something Just Like This,1dNIEtp7AY3oDAKCGg2XkH,0.607,0.649,11,-6.695,0,0.0362,2.46e-05,0.174,0.505,102.996,247627,4,70
2,Alvaro Soler,Eterno Agosto,Sofia,1VoHrSS3QQ6TbpabLrFiYb,0.691,0.72,2,-5.918,1,0.0324,0.0,0.15,0.906,128.014,210467,4,90
3,Coldplay,Viva La Vida or Death and All His Friends,Viva La Vida,1mea3bSkSGXuIRvnydlB5b,0.485,0.619,5,-7.115,0,0.0289,3.31e-06,0.109,0.416,138.017,242373,4,50
4,Westlife,Coast To Coast,Uptown Girl - Radio Edit,2sFp6E7lNBbblJGmUtCfFH,0.645,0.921,6,-5.256,0,0.0302,1.08e-05,0.407,0.864,129.0,186440,4,00
5,Coldplay,A Sky Full of Stars,A Sky Full of Stars,6HFbq7cewJ7rPiffV0ciil,0.545,0.675,6,-6.468,1,0.0279,0.00197,0.214,0.16,124.973,267867,4,10
6,Coldplay,A Head Full of Dreams,Adventure of a Lifetime,69uxyAqqPIsUyTO8txoP2M,0.638,0.924,7,-3.887,1,0.0359,0.000173,0.149,0.529,111.995,263787,4,10
7,Blue,Best Of Blue,All Rise,0OJtYfqiz0Xn53o2TnySQC,0.738,0.692,5,-4.349,0,0.0315,0.0,0.126,0.94,97.99,224133,4,10
8,Westlife,Coast To Coast,When You're Looking Like That - Single Remix,5t3oszlshIPTzpAwcCMqgw,0.597,0.945,6,-3.845,1,0.0497,0.0,0.0654,0.939,147.908,232827,4,70
9,Backstreet Boys,Backstreet's Back,Everybody (Backstreet's Back) - Radio Edit,6hDH3YWFdcUNQjubYztIsG,0.731,0.853,10,-4.219,0,0.0363,0.0,0.268,0.605,108.016,225360,4,90
10,Coldplay,Clocks,Clocks,2Ygs64z9ywJGakuKU8tr6o,0.577,0.749,5,-7.215,0,0.0279,0.0112,0.183,0.261,130.969,307880,4,80
11,*NSYNC,No Strings Attached,Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn,0.61,0.926,8,-4.843,0,0.0479,0.0012,0.0821,0.861,172.638,200400,4,10
12,Coldplay,Magic,Magic,27jdUE1EYDSXZqhjuNxLem,0.738,0.483,6,-8.915,0,0.0403,0.616,0.106,0.355,93.458,285014,4,00
13,Coldplay,Ghost Stories Live 2014,"A Sky Full of Stars - Live at the Royal Albert Hall, London",2WXTF0qgKbczC2O8VymeLO,0.467,0.765,6,-7.846,1,0.0311,5.93e-05,0.708,0.186,125.013,278267,4,60
14,Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)",Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,0.778,0.824,10,-5.892,0,0.0712,0.0,0.405,0.756,100.024,218093,4,10
15,Westlife,Westlife,If I Let You Go - Radio Edit,5giCRvTkp5GV5UIAORAOof,0.571,0.697,0,-4.255,1,0.0294,0.0,0.0775,0.636,181.987,221533,4,60
16,Backstreet Boys,Black & Blue,Shape of My Heart,35o9a4iAfLl5jRmqMX9c1D,0.575,0.786,9,-4.353,1,0.0296,0.0,0.159,0.518,96.102,230093,4,00
17,Coldplay,Midnight,Midnight,0UrvIS9YOQL814w4LCtNGB,0.548,0.475,1,-12.42,1,0.0355,0.808,0.0944,0.0349,126.976,294667,4,70
18,Westlife,Greatest Hits,Swear It Again - Radio Edit,4suhxpsuFo9CdUVyOYB6Kl,0.57,0.586,9,-5.986,1,0.0297,0.0,0.12,0.327,130.097,247627,4,00
19,Various Artists,Aladdin Original Broadway Cast Recording,Genie Medley,2ejvfR8r689tn0lyIwCNuo,0.514,0.313,9,-12.017,0,0.352,0.0,0.448,0.619,79.862,243747,4,50
20,Backstreet Boys,The Hits--Chapter One,I Want It That Way,6e40mgJiCid5HRAGrbpGA6,0.689,0.702,6,-5.642,0,0.0261,0.0,0.159,0.484,99.031,213600,4,00
21,Blue,One Love,One Love,2W5acFzXf5FrktecuD30Or,0.683,0.722,8,-4.039,0,0.0358,4.2e-05,0.35,0.854,95.012,207187,4,00
22,Coldplay,A Head Full of Dreams,Hymn for the Weekend,3RiPr603aXAoi4GHyXx0uy,0.49,0.743,0,-5.155,0,0.0409,7.21e-06,0.3,0.363,89.974,258827,4,10
23,Coldplay,In My Place,In My Place,2aXZp30TocFnABRPF1Isrl,0.434,0.563,9,-6.503,1,0.0266,1.44e-06,0.191,0.22,72.332,228933,4,50
24,Coldplay,Don't Panic,Don't Panic,62XuJOHM33VyWgKwNoj6w9,0.602,0.612,0,-8.409,1,0.0335,0.00616,0.107,0.453,122.062,136867,4,70
25,AC/DC,Back In Black,Shoot to Thrill,0C80GCp0mMuBzLf3EAXqxv,0.457,0.904,2,-5.303,1,0.0747,0.0879,0.396,0.48,141.038,317427,4,00
